,precision,recall,f1-score,support
//mfc-l2700dw,1.0,1.0,1.0,2.0
//mpeg-4,1.0,1.0,1.0,4.0
//mpeg4,1.0,0.9894736842105263,0.9947089947089947,95.0
//mr3420,1.0,1.0,1.0,165.0
//mrd-310,1.0,1.0,1.0,60.0
//mrd-315,1.0,1.0,1.0,25.0
//mrd-330,1.0,1.0,1.0,3.0
//mrd-350,1.0,1.0,1.0,21.0
//mrd-455,1.0,1.0,1.0,30.0
//ms312dn,1.0,1.0,1.0,2.0
//ms610dn,1.0,1.0,1.0,3.0
//ms621dn,1.0,1.0,1.0,1.0
//ms810,1.0,1.0,1.0,2.0
//mx-3070n,1.0,1.0,1.0,1.0
//mx104,1.0,1.0,1.0,4.0
//mx240,1.0,1.0,1.0,3.0
//mx310dn,1.0,1.0,1.0,3.0
//mx611dhe,1.0,1.0,1.0,3.0
//mx80,1.0,1.0,1.0,2.0
//n150rt,1.0,1.0,1.0,2.0
//n151rt,1.0,1.0,1.0,8.0
//n300,1.0,1.0,1.0,35.0
//n450,1.0,1.0,1.0,68.0
//n600,1.0,1.0,1.0,67.0
//n750,1.0,1.0,1.0,64.0
//nbg334w,1.0,1.0,1.0,6.0
//nod32,0.0,0.0,0.0,1.0
//officejet 3830 series,1.0,0.225,0.36734693877551017,40.0
//officejet 4630 series,1.0,1.0,1.0,13.0
//officejet 4650 series,1.0,0.23333333333333334,0.37837837837837834,30.0
//officejet 5740 series,1.0,0.6153846153846154,0.761904761904762,13.0
//officejet 6600,1.0,1.0,1.0,7.0
//officejet 6700,0.0,0.0,0.0,9.0
//officejet 6950,1.0,1.0,1.0,6.0
//officejet 6960,1.0,0.2857142857142857,0.4444444444444445,7.0
//officejet 7110 series,1.0,1.0,1.0,9.0
//officejet 7510 series,1.0,1.0,1.0,7.0
//officejet 7610 series,1.0,0.9705882352941176,0.9850746268656716,34.0
//officejet pro 6830,0.0,0.0,0.0,6.0
//officejet pro 6970,1.0,0.16666666666666666,0.2857142857142857,6.0
//officejet pro 8100,1.0,0.23809523809523808,0.3846153846153846,42.0
//officejet pro 8600,1.0,0.2072072072072072,0.3432835820895522,111.0
//officejet pro 8720,0.0,0.0,0.0,12.0
//officejet pro x476dw mfp,1.0,1.0,1.0,14.0
//officejet pro x576dw mfp,1.0,1.0,1.0,6.0
//ox253p,1.0,1.0,1.0,97.0
//p-660h-t1,1.0,1.0,1.0,3.0
//p-660hw-t,1.0,1.0,1.0,17.0
//p-660hw-t3v2,1.0,1.0,1.0,2.0
//p-660r-d1,1.0,1.0,1.0,3.0
//p-660r-t1v2,1.0,1.0,1.0,35.0
//p-660ru-t,1.0,1.0,1.0,11.0
//p-660ru-t1v2,1.0,1.0,1.0,23.0
//p1606dn,1.0,1.0,1.0,2.0
//p2015,1.0,0.9230769230769231,0.9600000000000001,13.0
//p2035n,1.0,1.0,1.0,6.0
//p2055dn,0.591743119266055,1.0,0.7435158501440923,129.0
//p4c85a,1.0,1.0,1.0,3.0
//p660hw-t1,1.0,1.0,1.0,2.0
//p660r-t1,1.0,1.0,1.0,46.0
//p660ru-t1,1.0,1.0,1.0,71.0
//p660ru-t3,1.0,1.0,1.0,6.0
//p7214,1.0,1.0,1.0,1.0
