,precision,recall,f1-score,support
/hp/photosmart 5520 series,1.0,0.5,0.6666666666666666,6.0
/hp/photosmart 7520 series,1.0,1.0,1.0,7.0
/hp/t0f32a,1.0,1.0,1.0,5.0
/hp/t0f33a,0.875,1.0,0.9333333333333333,7.0
/hp/t0g25a,0.75,1.0,0.8571428571428571,15.0
/hp/x451dn,1.0,1.0,1.0,5.0
/hp/x476dn,1.0,1.0,1.0,9.0
/ibm/g8000,1.0,1.0,1.0,1.0
/iptime/a3004ns,1.0,1.0,1.0,168.0
/iptime/a704ns,1.0,1.0,1.0,25.0
/juniper/ex3200-24t,1.0,1.0,1.0,6.0
/juniper/ex3200-48t,1.0,1.0,1.0,8.0
/juniper/ex3300-24t,1.0,1.0,1.0,12.0
/juniper/ex4300-24t,1.0,1.0,1.0,5.0
/juniper/ex4300-48p,1.0,1.0,1.0,2.0
/juniper/ex4300-48t,1.0,1.0,1.0,15.0
/juniper/ex4550-32f,1.0,1.0,1.0,12.0
/juniper/m10i,1.0,1.0,1.0,1.0
/juniper/mx104,1.0,1.0,1.0,4.0
/juniper/mx240,1.0,1.0,1.0,3.0
/juniper/mx80,1.0,1.0,1.0,2.0
/juniper/srx100b,1.0,1.0,1.0,44.0
/juniper/srx100h,1.0,1.0,1.0,15.0
/juniper/srx1400,1.0,1.0,1.0,5.0
/juniper/srx320,1.0,1.0,1.0,99.0
/juniper/srx340,1.0,1.0,1.0,99.0
/juniper/srx345,1.0,1.0,1.0,41.0
/juniper/srx650,1.0,1.0,1.0,15.0
/lexmark/cx510de,1.0,1.0,1.0,2.0
/lexmark/cx725,1.0,1.0,1.0,3.0
/lexmark/e260dn,1.0,1.0,1.0,2.0
/lexmark/ms312dn,1.0,1.0,1.0,2.0
/lexmark/ms610dn,1.0,1.0,1.0,3.0
/lexmark/ms621dn,1.0,1.0,1.0,1.0
/lexmark/ms810,1.0,1.0,1.0,2.0
/lexmark/mx310dn,1.0,1.0,1.0,3.0
/lexmark/mx611dhe,1.0,1.0,1.0,3.0
/lexmark/t652,1.0,1.0,1.0,2.0
/lexmark/xc4140,1.0,1.0,1.0,2.0
/lexmark/xc4150,1.0,1.0,1.0,1.0
/linksys/befvp41,1.0,1.0,1.0,1.0
/linksys/e1000,1.0,1.0,1.0,3.0
/linksys/e1200,1.0,1.0,1.0,3.0
/linksys/e1500,1.0,1.0,1.0,2.0
/linksys/e2100l,1.0,1.0,1.0,6.0
/linksys/e2500,1.0,1.0,1.0,61.0
/linksys/e3000,1.0,1.0,1.0,3.0
/linksys/e3200,1.0,1.0,1.0,2.0
/linksys/e4200,1.0,1.0,1.0,17.0
/linksys/e900,0.0,0.0,0.0,1.0
/linksys/ea2700,1.0,1.0,1.0,8.0
/linksys/jffs2,0.0,0.0,0.0,0.0
/linksys/wag120n,1.0,1.0,1.0,14.0
/linksys/wag200g,1.0,1.0,1.0,11.0
/linksys/wag320n,1.0,1.0,1.0,4.0
/linksys/wag54gs,1.0,1.0,1.0,3.0
/linksys/wap54g,1.0,1.0,1.0,6.0
/linksys/wrt54g,1.0,0.75,0.8571428571428571,12.0
/linksys/wrt54gl,1.0,1.0,1.0,1.0
/linksys/wrt600n,1.0,1.0,1.0,11.0
/linksys/wrv54g,1.0,1.0,1.0,8.0
/linksys/wvc54gc,1.0,1.0,1.0,2.0
/microseven/m7cam,1.0,1.0,1.0,5.0
/mikrotik/adventure,0.0,0.0,0.0,0.0
/mikrotik/rb2011,1.0,1.0,1.0,1.0
/mikrotik/rb450,0.0,0.0,0.0,1.0
/mikrotik/rb750,1.0,1.0,1.0,1.0
/mocet/ig7600,1.0,1.0,1.0,3.0
/moxa/g3100,1.0,1.0,1.0,1.0
/moxa/g3150-hsdpa,1.0,1.0,1.0,2.0
/netgear/cwge111,1.0,1.0,1.0,1.0
/netgear/dg834,1.0,1.0,1.0,224.0
/netgear/dgn1000,1.0,1.0,1.0,49.0
/netgear/dgn2000,1.0,1.0,1.0,10.0
/netgear/dgn3500,1.0,1.0,1.0,10.0
/netgear/dgnd3300,1.0,1.0,1.0,6.0
/netgear/dgnd3700,1.0,1.0,1.0,1.0
/netgear/dm111pspv2,1.0,1.0,1.0,8.0
/netgear/fs728tp,1.0,1.0,1.0,18.0
/netgear/gs108t,1.0,1.0,1.0,5.0
/netgear/gs110tp,1.0,1.0,1.0,19.0
/netgear/gs510tp,1.0,1.0,1.0,1.0
/netgear/gs724t,1.0,1.0,1.0,4.0
/netgear/gs724tv4,1.0,1.0,1.0,1.0
/netgear/gs748tv5,1.0,1.0,1.0,2.0
/netgear/m4100-26g,1.0,1.0,1.0,1.0
/netgear/r6250,1.0,1.0,1.0,32.0
/netgear/r6300,1.0,1.0,1.0,9.0
/netgear/r6400,1.0,1.0,1.0,101.0
/netgear/r6900v2,1.0,1.0,1.0,8.0
/netgear/r7000,1.0,1.0,1.0,273.0
/netgear/r7800,1.0,1.0,1.0,2.0
/netgear/r8000,1.0,1.0,1.0,127.0
/netgear/wg302v2,1.0,1.0,1.0,2.0
/netgear/wndr4300,1.0,1.0,1.0,1.0
/netgear/wnr1000v3,1.0,1.0,1.0,45.0
/netgear/wnr2000v2,1.0,1.0,1.0,2.0
/netgear/wnr3500lv1,1.0,1.0,1.0,2.0
/netgear/wnr614,1.0,1.0,1.0,112.0
/samsung/c140x,1.0,1.0,1.0,2.0
/samsung/clp-680,1.0,1.0,1.0,6.0
/samsung/m337x,1.0,1.0,1.0,20.0
/siemens/sl2-141,1.0,1.0,1.0,3.0
/sony/snc-er580,1.0,1.0,1.0,6.0
/speedport/w 723v typ b,1.0,1.0,1.0,2.0
/totolink/a2004ns,1.0,1.0,1.0,3.0
/totolink/n150rt,1.0,1.0,1.0,2.0
/totolink/n151rt,1.0,1.0,1.0,8.0
/tp-link/c1900,1.0,1.0,1.0,24.0
/tp-link/mr3420,1.0,1.0,1.0,165.0
/tp-link/td-w8950n,1.0,1.0,1.0,34.0
/tp-link/td-w8960n,1.0,1.0,1.0,620.0
/tp-link/td-w8968,1.0,1.0,1.0,320.0
/tp-link/tl-wdr3600,1.0,1.0,1.0,1.0
/tp-link/tl-wr1043nd,1.0,1.0,1.0,198.0
/tp-link/tl-wr741nd,1.0,1.0,1.0,843.0
/tp-link/tl-wr841hp,1.0,1.0,1.0,67.0
/tp-link/tl-wr941hp,1.0,1.0,1.0,93.0
/tp-link/tl-wr941nd,1.0,1.0,1.0,335.0
/tp-link/wa801n,1.0,1.0,1.0,3.0
/tp-link/wdr4300,1.0,1.0,1.0,1.0
/tp-link/wr1042nd,1.0,1.0,1.0,2.0
/tp-link/wr1043nd,1.0,1.0,1.0,1.0
/tp-link/wr340g,1.0,1.0,1.0,3.0
/tp-link/wr740n,1.0,1.0,1.0,4.0
/tp-link/wr741nd,1.0,1.0,1.0,2.0
/tp-link/wr840n,1.0,1.0,1.0,1.0
/tp-link/wr841n,1.0,1.0,1.0,252.0
/tp-link/wr842nd,1.0,1.0,1.0,21.0
/tp-link/wr941n,1.0,1.0,1.0,1.0
/tp-link/wr941nd,1.0,1.0,1.0,110.0
/trendnet/tew-634gru,1.0,1.0,1.0,1.0
/trendnet/tew-651br,1.0,1.0,1.0,11.0
/trendnet/tew-652brp,1.0,1.0,1.0,11.0
/trendnet/tew-673gru,1.0,1.0,1.0,2.0
/trendnet/tew-712br,1.0,1.0,1.0,3.0
/trendnet/tw100-s4w1ca,1.0,1.0,1.0,3.0
/westermo/adsl-350,1.0,1.0,1.0,13.0
/westermo/mrd-310,1.0,1.0,1.0,60.0
/westermo/mrd-315,1.0,1.0,1.0,25.0
/westermo/mrd-330,1.0,1.0,1.0,3.0
/westermo/mrd-350,1.0,1.0,1.0,21.0
/westermo/mrd-455,1.0,1.0,1.0,30.0
/zoom/channel10,1.0,1.0,1.0,4.0
/zte/h108n,1.0,1.0,1.0,1.0
/zte/h267a,1.0,1.0,1.0,2.0
/zyxel/pk5001z,1.0,1.0,1.0,1924.0
/zyxel/vsg1432-b101,1.0,1.0,1.0,1216.0
/zyxel/vsg1435-b101,1.0,1.0,1.0,157.0
accuracy,0.9630011691080393,0.9630011691080393,0.9630011691080393,0.9630011691080393
macro avg,0.8996922982653598,0.9191333057812163,0.898081777860258,14541.0
weighted avg,0.9565631367661154,0.9630011691080393,0.9524397966396376,14541.0
